도로명,도로폭,도로길이,교차로수,위도,경도
필운대로2길,4,144,0,37.5786934,126.9696747
명륜7길,2,23,0,37.5902064,126.9948777
돈화문로6나길,2,19,0,37.5712661,126.9933307
창의문로7길,2,35,0,37.5920049,126.9630996
자하문로36길,7,131,0,37.5908351,126.9681825
율곡로13가길,1,17,0,37.576756,127.00005790000002
평창길,6,65,0,37.6057421,126.96511299999999
지봉로12나길,1,22,0,37.5780828,127.016951
종로41길,2,33,0,37.571999299999995,127.00653600000001
종로,40,83,0,37.5707265,127.0064156
평창1길,3,79,0,37.6050347,126.96416229999998
종로,40,53,0,37.5713221,127.00570090000001
창경궁로,4,90,0,37.5844576,126.9997577
창경궁로16길,7,26,0,37.5744219,126.99873240000001
북촌로11길,2,8,0,37.5816842,126.9843823
옥인6길,3,10,0,37.580937799999994,126.9645236
옥인길,3,30,0,37.5819325,126.9650472
통일로12길,1,27,0,37.5749135,126.9619872
진흥로22길,4,146,0,37.6056404,126.9565378
통일로12길,2,18,0,37.57561320000001,126.9620374
통일로12길,2,50,0,37.576046500000004,126.9620111
대학로,1,40,0,37.584741799999996,127.0012159
평창23길,5,64,0,37.6102566,126.96993810000001
비봉길,4,72,0,37.614890100000004,126.9553898
비봉길,4,44,0,37.616903799999996,126.95345800000001
비봉길,4,31,0,37.6161652,126.95461909999999
창경궁로,2,44,0,37.582627200000005,126.9979846
율곡로10길,2,37,0,37.5738998,126.99184840000002
송월길,1,18,0,37.569261,126.96593770000001
홍지문3길,3,159,0,37.602011600000004,126.9565701
사직로1다길,5,114,0,37.5741721,126.9629867
인왕산로1가길,5,202,0,37.574141,126.96341640000001
창신길,2,57,0,37.573487,127.0103439
자하문로11길,8,227,0,37.5801403,126.97071940000001
송월길,3,66,0,37.5718271,126.96352549999999
성균관로,10,83,0,37.5877378,126.997169
평창30길,6,178,0,37.6121963,126.9728713
종로5길,2,26,0,37.5718945,126.9805996
충신4길,2,32,0,37.57541,127.00798259999999
창의문로3길,3,212,0,37.5919953,126.9653347
효자로7길,1,22,0,37.579017799999995,126.9732672
삼일대로32길,12,25,0,37.5756676,126.98997620000002
창신길,3,64,0,37.576687400000004,127.01067009999998
혜화로6길,7,49,0,37.588314200000006,127.0016172
종로41나길,2,40,0,37.573178799999994,127.00556850000001
종로41나길,4,30,0,37.5728598,127.00484709999999
율곡로30길,6,31,0,37.572716899999996,127.00712390000001
돈화문로11가길,4,26,0,37.573387,126.99115420000001
명륜1길,3,228,0,37.58801939999999,126.9952753
낙산성곽1길,4,65,0,37.5734672,127.00993940000001
낙산성곽1길,2,44,0,37.573344299999995,127.0094645
창신길,2,32,0,37.5751358,127.0107312
창신6나길,2,32,0,37.575894700000006,127.01190079999999
명륜2길,2,58,0,37.589383000000005,126.99612990000001
율곡로13가길,3,19,0,37.5766294,126.9995756
대명길,12,19,0,37.583150399999994,127.00004820000001
율곡로30길,5,155,0,37.5723902,127.00708770000001
사직로8길,23,751,0,37.574803700000004,126.9728362
창의문로1길,6,228,0,37.5902651,126.9691885
평창30길,6,83,0,37.612880700000005,126.9718354
대학로1길,4,98,0,37.57216079999999,127.00031059999999
창경궁로,3,65,0,37.573945200000004,126.9972125
창신2길,5,144,0,37.5727158,127.00997290000001
계동4길,3,136,0,37.5823755,126.98748490000001
사직로1길,2,35,0,37.5730538,126.9627787
창경궁로18길,7,70,0,37.5748492,126.99895520000001
보문로9길,3,37,0,37.5785852,127.02213799999998
비봉길,6,233,0,37.6141784,126.95626029999998
자하문로1나길,2,71,0,37.5767807,126.97120430000001
